,0,1
tower-bar,5148,8282
text,1728,0
king-tower,4144,4165
queen-tower,8323,7685
elixir,1191,0
ice-spirit,455,38
clock,1573,509
royal-recruit,0,3298
bar,2926,4941
selected,156,0
cannon,1221,0
flying-machine,9,308
skeleton,2134,75
fireball,206,46
hog-rider,1118,0
zappy,0,1617
emote,329,0
the-log,566,50
goblin-cage,0,148
ice-golem,1317,90
musketeer,1868,0
barbarian-barrel,0,76
barbarian,0,806
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,398,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,6
electro-wizard,0,101
poison,0,60
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,267
tornado,0,28
golem,0,148
golemite,0,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,15
archer,0,129
tesla,0,56
knight,0,54
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,0,82
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,27
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,8,0
bomb,0,12
royal-delivery,0,9
little-prince,0,104
royal-giant-evolution,0,29
earthquake,0,61
skeleton-evolution,96,0
firecracker-evolution,0,7
royal-guardian,0,30
giant-snowball,0,10
mirror,0,5
miner,0,19
lightning,0,3
goblin-drill,0,13
freeze,0,1
