,0,1
archer,0,30
arrows,0,2
baby-dragon,0,35
background-items,25,0
backgrounds,28,0
bandit,0,36
bar,37,34
bar-level,1,2
barbarian,0,38
barbarian-barrel,0,8
barbarian-hut,0,1
big-text,5,0
cannon,7,0
clock,14,10
electro-spirit,0,15
electro-wizard,0,17
elite-barbarian,0,28
elixir,17,0
emote,20,0
fireball,17,15
flying-machine,0,25
goblin,0,15
goblin-barrel,0,21
goblin-brawler,0,39
goblin-cage,0,2
golem,0,17
golemite,0,17
hog-rider,36,0
ice-golem,31,12
ice-spirit,27,16
inferno-dragon,0,27
inferno-tower,0,9
king-tower,14,23
king-tower-bar,1,4
knight,0,11
lumberjack,0,22
magic-archer,0,26
mega-minion,0,24
mighty-miner,0,10
minion,0,22
musketeer,43,0
pekka,0,22
poison,0,4
princess,0,17
queen-tower,10,27
rage,0,4
ram-rider,0,18
rocket,0,12
royal-ghost,0,21
royal-hog,0,27
royal-recruit,0,60
skeleton,53,15
small-text,13,0
tesla,0,8
the-log,27,7
tornado,0,4
tower-bar,18,22
x-bow,0,4
zap,0,4
zappy,0,30
