,0,1
tower-bar,4786,7894
text,1728,0
king-tower,3963,3971
queen-tower,7937,7299
elixir,1191,0
ice-spirit,455,38
clock,1573,494
royal-recruit,0,3283
bar,2926,4884
selected,156,0
cannon,1221,0
flying-machine,9,308
skeleton,2134,75
fireball,206,46
hog-rider,1118,0
zappy,0,1617
emote,311,0
the-log,566,50
goblin-cage,0,148
ice-golem,1317,90
musketeer,1868,0
barbarian-barrel,0,76
barbarian,0,806
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,366,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,4
electro-wizard,0,101
poison,0,51
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,249
tornado,0,12
golem,0,148
golemite,0,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,15
archer,0,129
tesla,0,56
knight,0,54
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,0,63
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,14
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,8,0
bomb,0,12
royal-delivery,0,6
little-prince,0,60
royal-giant-evolution,0,29
earthquake,0,27
skeleton-evolution,96,0
firecracker-evolution,0,7
royal-guardian,0,10
