,0,1
tower-bar,6160,9462
text,1769,0
king-tower,4830,4755
queen-tower,9310,8867
elixir,1213,0
ice-spirit,476,38
clock,1605,573
royal-recruit,0,3298
bar,3063,5249
selected,156,0
cannon,1221,0
flying-machine,9,308
skeleton,2151,108
fireball,206,46
hog-rider,1118,0
zappy,0,1617
emote,311,0
the-log,566,50
goblin-cage,0,148
ice-golem,1383,90
musketeer,1868,0
barbarian-barrel,0,76
barbarian,0,822
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,723,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,6
electro-wizard,0,101
poison,0,101
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,267
tornado,0,28
golem,28,148
golemite,15,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,20
archer,0,187
tesla,0,56
knight,44,54
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,66,95
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,27
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,10,0
bomb,0,18
royal-delivery,0,9
little-prince,0,171
royal-giant-evolution,0,29
earthquake,0,61
skeleton-evolution,96,0
firecracker-evolution,0,7
royal-guardian,0,99
giant-snowball,0,10
mirror,0,5
dirt,114,0
miner,0,44
lightning,0,9
freeze,0,12
goblin-drill,0,27
graveyard,0,29
cannon-cart,0,36
dark-prince,0,78
battle-ram,0,17
bowler,0,36
archer-queen,0,42
giant,18,0
battle-healer,0,70
balloon,0,42
archer-evolution,0,83
