,0,1
tower-bar,4224,7326
text,1626,0
king-tower,3679,3687
queen-tower,7369,7299
elixir,1129,0
ice-spirit,426,38
clock,1502,441
royal-recruit,0,3253
bar,2769,4738
selected,156,0
cannon,1149,0
flying-machine,9,308
skeleton,2064,75
fireball,190,46
hog-rider,1040,0
zappy,0,1617
emote,307,0
the-log,535,34
goblin-cage,0,148
ice-golem,1289,90
musketeer,1751,0
barbarian-barrel,0,76
barbarian,0,806
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,344,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,4
electro-wizard,0,101
poison,0,51
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,249
tornado,0,12
golem,0,148
golemite,0,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,15
archer,0,129
tesla,0,56
knight,0,54
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,0,63
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,6
