,0,1
tower-bar,8333,11756
text,1946,0
king-tower,5976,5902
queen-tower,11483,11161
elixir,1395,0
ice-spirit,566,38
clock,1782,827
royal-recruit,0,3298
bar,3531,6663
selected,156,0
cannon,1524,121
flying-machine,9,308
skeleton,2463,183
fireball,209,46
hog-rider,1118,48
zappy,0,1617
emote,311,0
the-log,584,50
goblin-cage,0,148
ice-golem,1551,90
musketeer,2330,31
barbarian-barrel,0,76
barbarian,0,822
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,782,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,6
electro-wizard,0,101
poison,0,101
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,267
tornado,0,28
golem,28,148
golemite,15,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,20
archer,0,187
tesla,0,56
knight,44,112
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,66,117
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,27
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,25,0
bomb,0,24
royal-delivery,0,9
little-prince,0,171
royal-giant-evolution,0,29
earthquake,0,61
skeleton-evolution,96,76
firecracker-evolution,0,7
royal-guardian,0,99
giant-snowball,0,10
mirror,0,5
dirt,115,0
miner,0,85
lightning,0,9
freeze,0,12
goblin-drill,0,27
graveyard,0,29
cannon-cart,0,36
dark-prince,0,78
battle-ram,0,17
bowler,0,36
archer-queen,0,42
giant,18,83
battle-healer,0,70
balloon,0,42
archer-evolution,0,83
electro-giant,0,69
dart-goblin,0,36
elixir-golem-big,0,70
elixir-collector,0,186
fire-spirit,0,86
bomber,0,39
elixir-golem-mid,0,37
elixir-golem-small,0,27
executioner,0,59
axe,0,16
electro-dragon,0,36
bomber-evolution,0,16
goblin-giant,0,81
golden-knight,0,93
fisherman,0,91
spear-goblin,0,167
goblin-hut,0,60
furnace,0,58
giant-skeleton,0,39
heal-spirit,0,24
guard,0,145
ice-wizard,0,101
hunter,0,63
knight-evolution,0,32
night-witch,0,70
bat,0,117
lava-hound,0,63
mini-pekka,0,45
lava-pup,0,61
mother-witch,0,62
hog,0,72
mortar,0,134
monk,0,91
mega-knight,0,89
mortar-evolution,0,35
goblin-ball,0,9
