,0,1
archer,0,30
arrows,0,20
baby-dragon,0,35
background-items,28,0
backgrounds,28,0
bandit,0,36
bar,58,55
bar-level,1,2
barbarian,0,38
barbarian-barrel,0,8
barbarian-hut,0,1
big-text,6,0
bomb,0,6
bomb-tower,0,14
cannon,9,0
cannoneer-tower,0,5
clock,14,10
dirt,20,0
earthquake,0,10
electro-spirit,0,15
electro-wizard,0,17
elite-barbarian,0,28
elixir,17,0
emote,22,0
evolution-symbol,6,0
fireball,18,15
firecracker,0,14
firecracker-evolution,0,4
flying-machine,0,25
freeze,0,5
giant-snowball,0,11
goblin,0,21
goblin-barrel,0,21
goblin-brawler,0,39
goblin-cage,0,2
goblin-drill,0,7
golem,0,17
golemite,0,17
graveyard,0,3
hog-rider,38,0
ice-golem,32,12
ice-spirit,28,16
inferno-dragon,0,27
inferno-tower,0,9
king-tower,15,26
king-tower-bar,1,4
knight,0,11
lightning,0,9
little-prince,0,44
lumberjack,0,22
magic-archer,0,26
mega-minion,0,24
mighty-miner,0,10
miner,0,19
minion,0,22
mirror,0,2
musketeer,45,0
pekka,0,22
poison,0,14
princess,0,17
queen-tower,11,28
rage,0,9
ram-rider,0,18
rocket,0,21
royal-delivery,0,9
royal-ghost,0,21
royal-giant,2,8
royal-giant-evolution,0,16
royal-guardian,0,24
royal-hog,0,27
royal-recruit,0,67
skeleton,68,15
skeleton-evolution,21,0
small-text,13,0
tesla,0,8
the-log,29,9
tornado,0,13
tower-bar,18,22
x-bow,0,4
zap,0,8
zappy,0,30
