,0,1
tower-bar,9596,13084
text,2037,0
king-tower,6640,6566
queen-tower,12746,12489
elixir,1484,0
ice-spirit,598,38
clock,1920,942
royal-recruit,0,3298
bar,3787,7290
selected,156,0
cannon,1614,121
flying-machine,9,308
skeleton,2620,690
fireball,209,46
hog-rider,1159,48
zappy,0,1617
emote,311,0
the-log,601,50
goblin-cage,0,148
ice-golem,1640,100
musketeer,2487,31
barbarian-barrel,0,76
barbarian,0,822
goblin-brawler,0,260
electro-spirit,0,118
royal-hog,0,837
king-tower-bar,843,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,6
electro-wizard,0,116
poison,0,101
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,267
tornado,0,28
golem,28,148
golemite,15,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,20
archer,0,187
tesla,0,141
knight,44,112
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,104,117
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,27
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,32,0
bomb,0,24
royal-delivery,0,9
little-prince,0,171
royal-giant-evolution,0,29
earthquake,0,61
skeleton-evolution,96,76
firecracker-evolution,0,7
royal-guardian,0,99
giant-snowball,0,10
mirror,0,5
dirt,140,0
miner,0,89
lightning,0,9
freeze,0,12
goblin-drill,8,27
graveyard,0,29
cannon-cart,0,36
dark-prince,18,78
battle-ram,0,17
bowler,0,36
archer-queen,0,42
giant,18,83
battle-healer,0,70
balloon,0,42
archer-evolution,0,83
electro-giant,0,69
dart-goblin,0,53
elixir-golem-big,0,70
elixir-collector,0,186
fire-spirit,0,99
bomber,0,39
elixir-golem-mid,0,37
elixir-golem-small,0,27
executioner,7,59
axe,6,16
electro-dragon,0,36
bomber-evolution,0,16
goblin-giant,0,81
golden-knight,0,93
fisherman,0,91
spear-goblin,7,167
goblin-hut,0,60
furnace,0,58
giant-skeleton,0,78
heal-spirit,0,39
guard,0,145
ice-wizard,0,101
hunter,0,63
knight-evolution,0,32
night-witch,0,70
bat,0,117
lava-hound,0,63
mini-pekka,0,45
lava-pup,0,61
mother-witch,0,62
hog,0,72
mortar,24,134
monk,0,91
mega-knight,0,89
mortar-evolution,0,35
goblin-ball,0,9
sparky,0,75
phoenix-big,0,22
phoenix-egg,0,8
phoenix-small,0,17
skeleton-king,0,99
prince,0,69
skeleton-king-bar,0,46
skeleton-king-skill,0,8
skeleton-barrel,0,27
rascal-girl,0,120
rascal-boy,0,72
skeleton-dragon,0,117
tesla-evolution,0,147
tesla-evolution-shock,0,20
valkyrie,0,56
witch,0,29
wall-breaker,0,39
wizard,0,54
tombstone,0,62
valkyrie-evolution,0,27
