,0,1
tower-bar,6598,9900
text,1809,0
king-tower,5049,4974
queen-tower,9748,9305
elixir,1298,0
ice-spirit,496,38
clock,1641,626
royal-recruit,0,3298
bar,3176,5581
selected,156,0
cannon,1298,0
flying-machine,9,308
skeleton,2250,108
fireball,206,46
hog-rider,1118,0
zappy,0,1617
emote,311,0
the-log,575,50
goblin-cage,0,148
ice-golem,1413,90
musketeer,1963,0
barbarian-barrel,0,76
barbarian,0,822
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,723,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,6
electro-wizard,0,101
poison,0,101
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,267
tornado,0,28
golem,28,148
golemite,15,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,20
archer,0,187
tesla,0,56
knight,44,54
x-bow,0,35
goblin-barrel,0,23
inferno-tower,0,74
princess,0,45
goblin,66,95
mighty-miner,0,60
barbarian-hut,0,97
arrows,0,27
cannoneer-tower,0,568
firecracker,0,54
bomb-tower,0,45
royal-giant,0,37
evolution-symbol,14,0
bomb,0,18
royal-delivery,0,9
little-prince,0,171
royal-giant-evolution,0,29
earthquake,0,61
skeleton-evolution,96,0
firecracker-evolution,0,7
royal-guardian,0,99
giant-snowball,0,10
mirror,0,5
dirt,114,0
miner,0,44
lightning,0,9
freeze,0,12
goblin-drill,0,27
graveyard,0,29
cannon-cart,0,36
dark-prince,0,78
battle-ram,0,17
bowler,0,36
archer-queen,0,42
giant,18,0
battle-healer,0,70
balloon,0,42
archer-evolution,0,83
electro-giant,0,69
dart-goblin,0,36
elixir-golem-big,0,70
elixir-collector,0,186
fire-spirit,0,13
bomber,0,39
elixir-golem-mid,0,37
elixir-golem-small,0,27
executioner,0,59
axe,0,16
electro-dragon,0,36
bomber-evolution,0,16
