,0,1
tower-bar,3832,6420
text,1450,0
king-tower,3228,3234
queen-tower,6466,6393
elixir,1028,0
ice-spirit,375,0
clock,1395,330
royal-recruit,0,3253
bar,2517,4478
selected,156,0
cannon,1009,0
flying-machine,9,308
skeleton,1751,0
fireball,180,46
hog-rider,912,0
zappy,0,1617
emote,291,0
the-log,491,0
goblin-cage,0,148
ice-golem,1114,90
musketeer,1681,0
barbarian-barrel,0,76
barbarian,0,806
goblin-brawler,0,260
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,344,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,4
electro-wizard,0,101
poison,0,51
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,249
tornado,0,12
golem,0,148
golemite,0,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
barbarian-hut,0,97
arrows,0,6
