,0,1
tower-bar,4028,6806
text,1524,0
king-tower,3419,3427
queen-tower,6851,6779
elixir,1074,0
ice-spirit,405,17
clock,1448,392
royal-recruit,0,3253
bar,2604,4625
selected,156,0
cannon,1020,0
flying-machine,9,308
skeleton,1849,75
fireball,180,46
hog-rider,979,0
zappy,0,1617
emote,307,0
the-log,513,12
goblin-cage,0,148
ice-golem,1229,90
musketeer,1723,0
barbarian-barrel,0,76
barbarian,0,806
goblin-brawler,0,261
electro-spirit,0,104
royal-hog,0,837
king-tower-bar,344,362
pekka,0,361
royal-ghost,0,197
minion,0,190
bandit,0,289
zap,0,4
electro-wizard,0,101
poison,0,51
mega-minion,0,202
baby-dragon,0,207
lumberjack,0,275
elite-barbarian,0,316
rage,0,249
tornado,0,12
golem,0,148
golemite,0,81
inferno-dragon,0,211
ram-rider,0,171
magic-archer,0,81
rocket,0,14
archer,0,129
tesla,0,56
knight,0,54
x-bow,0,35
barbarian-hut,0,97
arrows,0,6
